timestamp,symbol,high,low,close,volume,vwap,trade_count
2025-07-10 09:30:00,SUGP,1.59,1.45,1.59,306,1.543333,4
2025-07-10 09:31:00,SUGP,1.58,1.58,1.58,100,1.58,1
2025-07-10 09:32:00,SUGP,1.565,1.51,1.565,315,1.531667,4
2025-07-10 09:33:00,SUGP,1.57,1.5,1.53,865,1.535,10
2025-07-10 09:34:00,SUGP,1.53,1.53,1.53,100,1.53,1
2025-07-10 09:35:00,SUGP,1.5,1.5,1.5,200,1.5,2
2025-07-10 09:36:00,SUGP,1.46,1.45,1.45,306,1.453333,4
2025-07-10 09:37:00,SUGP,1.42,1.39,1.42,900,1.401111,6
2025-07-10 09:39:00,SUGP,1.45,1.43,1.45,200,1.44,2
2025-07-10 09:41:00,SUGP,1.49,1.49,1.49,100,1.49,1
2025-07-10 09:43:00,SUGP,1.48,1.45,1.45,300,1.463333,3
2025-07-10 09:44:00,SUGP,1.45,1.45,1.45,205,1.45,3
2025-07-10 09:45:00,SUGP,1.425,1.42,1.425,200,1.4225,2
2025-07-10 13:47:00,SUGP,1.565,1.5,1.5,1691,1.512623,18
2025-07-10 13:53:00,SUGP,1.435,1.41,1.435,728,1.427857,6
2025-07-10 13:54:00,SUGP,1.425,1.425,1.425,755,1.425,7
2025-07-10 14:01:00,SUGP,1.455,1.455,1.455,236,1.455,3
2025-07-10 14:10:00,SUGP,1.47,1.47,1.47,100,1.47,1
2025-07-10 14:20:00,SUGP,1.52,1.52,1.52,234,1.52,4
2025-07-10 14:21:00,SUGP,1.515,1.515,1.515,567,1.515,3
2025-07-10 14:39:00,SUGP,1.54,1.54,1.54,300,1.54,3
2025-07-10 14:40:00,SUGP,1.555,1.55,1.555,358,1.551667,4
2025-07-10 14:41:00,SUGP,1.555,1.555,1.555,500,1.555,6
2025-07-10 14:45:00,SUGP,1.535,1.535,1.535,290,1.535,2
2025-07-10 14:46:00,SUGP,1.61,1.54,1.61,600,1.579167,6
2025-07-10 14:47:00,SUGP,1.605,1.595,1.6,1743,1.601478,9
2025-07-10 14:57:00,SUGP,1.605,1.605,1.605,500,1.605,1
2025-07-10 15:00:00,SUGP,1.62,1.62,1.62,100,1.62,1
2025-07-10 15:06:00,SUGP,1.63,1.63,1.63,100,1.63,1
2025-07-10 15:10:00,SUGP,1.62,1.62,1.62,600,1.62,5
2025-07-10 15:11:00,SUGP,1.63,1.63,1.63,199,1.63,2
2025-07-10 15:14:00,SUGP,1.58,1.53,1.535,1220,1.542273,10
2025-07-10 15:16:00,SUGP,1.555,1.555,1.555,325,1.555,1
2025-07-10 15:20:00,SUGP,1.545,1.545,1.545,370,1.545,3
2025-07-10 15:26:00,SUGP,1.53,1.53,1.53,139,1.53,2
