timestamp,symbol,high,low,close,volume,vwap,trade_count
2025-07-17 09:30:00,RCKT,3.4299,3.27,3.3984,278617,3.330579,604
2025-07-17 09:31:00,RCKT,3.52,3.345,3.345,277633,3.438409,1397
2025-07-17 09:32:00,RCKT,3.35,3.2501,3.27,132849,3.295669,801
2025-07-17 09:33:00,RCKT,3.28,3.22,3.255,141990,3.252727,405
2025-07-17 09:34:00,RCKT,3.37,3.2512,3.3677,87938,3.319521,402
2025-07-17 09:35:00,RCKT,3.38,3.315,3.35,76695,3.354291,271
2025-07-17 09:36:00,RCKT,3.375,3.3,3.3102,98838,3.339608,202
2025-07-17 09:37:00,RCKT,3.37,3.31,3.3653,38696,3.328771,158
2025-07-17 09:38:00,RCKT,3.38,3.315,3.3288,39375,3.351519,172
2025-07-17 09:39:00,RCKT,3.3295,3.31,3.3295,23191,3.318587,101
2025-07-17 09:40:00,RCKT,3.364,3.32,3.35,14747,3.338703,71
2025-07-17 09:41:00,RCKT,3.36,3.33,3.3367,29312,3.338111,85
2025-07-17 09:42:00,RCKT,3.335,3.27,3.295,66138,3.30259,226
2025-07-17 09:43:00,RCKT,3.3588,3.3,3.3588,34065,3.332151,108
2025-07-17 09:44:00,RCKT,3.3488,3.33,3.34,24037,3.332591,189
2025-07-17 09:45:00,RCKT,3.37,3.32,3.32,45452,3.342734,165
