timestamp,symbol,high,low,close,volume,vwap,trade_count
2025-07-17 09:30:00,AIRE,0.1498,0.1488,0.1488,293164,0.149497,175
2025-07-17 09:31:00,AIRE,0.149,0.1466,0.1478,98952,0.147685,85
2025-07-17 09:32:00,AIRE,0.1478,0.1466,0.1476,16528,0.14744,35
2025-07-17 09:33:00,AIRE,0.1476,0.1441,0.1441,74320,0.14542,97
2025-07-17 09:34:00,AIRE,0.1442,0.143,0.1431,125500,0.143422,132
2025-07-17 09:35:00,AIRE,0.1432,0.1431,0.1432,38990,0.14314,63
2025-07-17 09:36:00,AIRE,0.1436,0.1431,0.1434,112105,0.143235,90
2025-07-17 09:37:00,AIRE,0.1434,0.1431,0.1432,103465,0.143291,82
2025-07-17 09:38:00,AIRE,0.1433,0.1431,0.1431,81783,0.143207,88
2025-07-17 09:39:00,AIRE,0.1432,0.1431,0.1431,94367,0.143179,76
2025-07-17 09:40:00,AIRE,0.1432,0.143,0.1431,244944,0.143162,189
2025-07-17 09:41:00,AIRE,0.1431,0.143,0.143,199016,0.143094,137
2025-07-17 09:42:00,AIRE,0.1486,0.1412,0.145,321909,0.14358,363
2025-07-17 09:43:00,AIRE,0.1459,0.1411,0.1418,227944,0.144122,158
2025-07-17 09:44:00,AIRE,0.1428,0.141,0.1424,36375,0.141575,83
2025-07-17 09:45:00,AIRE,0.1448,0.1423,0.1431,82227,0.143713,124
