timestamp,symbol,high,low,close,volume,vwap,trade_count
2025-07-07 15:16:00+00:00,SVRE,2.89,2.89,2.89,110,2.89,1
2025-07-07 15:18:00+00:00,SVRE,2.79,2.79,2.79,110,2.79,1
2025-07-07 15:20:00+00:00,SVRE,2.74,2.74,2.74,100,2.74,1
2025-07-07 15:21:00+00:00,SVRE,2.725,2.725,2.725,112,2.725,3
2025-07-07 15:22:00+00:00,SVRE,2.73,2.7,2.7,200,2.715,2
2025-07-07 15:24:00+00:00,SVRE,2.7,2.7,2.7,101,2.7,2
2025-07-07 15:25:00+00:00,SVRE,2.66,2.66,2.66,100,2.66,1
2025-07-07 15:27:00+00:00,SVRE,2.76,2.74,2.76,506,2.752,9
2025-07-07 15:28:00+00:00,SVRE,2.735,2.73,2.73,204,2.7325,5
2025-07-07 15:30:00+00:00,SVRE,2.69,2.69,2.69,150,2.69,3
2025-07-07 15:32:00+00:00,SVRE,2.69,2.69,2.69,100,2.69,1
2025-07-07 15:33:00+00:00,SVRE,2.73,2.73,2.73,100,2.73,1
2025-07-07 15:40:00+00:00,SVRE,2.78,2.78,2.78,100,2.78,1
2025-07-07 15:52:00+00:00,SVRE,2.85,2.85,2.85,100,2.85,1
2025-07-07 15:58:00+00:00,SVRE,2.93,2.93,2.93,176,2.93,4
