timestamp,symbol,high,low,close,volume,vwap,trade_count
2025-07-07 15:16:00+00:00,SVRE,2.89,2.89,2.89,110,2.89,1
2025-07-07 15:18:00+00:00,SVRE,2.79,2.79,2.79,110,2.79,1
2025-07-07 15:20:00+00:00,SVRE,2.74,2.74,2.74,100,2.74,1
2025-07-07 15:21:00+00:00,SVRE,2.725,2.725,2.725,112,2.725,3
2025-07-07 15:22:00+00:00,SVRE,2.73,2.7,2.7,200,2.715,2
2025-07-07 15:24:00+00:00,SVRE,2.7,2.7,2.7,101,2.7,2
2025-07-07 15:25:00+00:00,SVRE,2.66,2.66,2.66,100,2.66,1
2025-07-07 15:27:00+00:00,SVRE,2.76,2.74,2.76,506,2.752,9
2025-07-07 15:28:00+00:00,SVRE,2.735,2.73,2.73,204,2.7325,5
2025-07-07 15:30:00+00:00,SVRE,2.69,2.69,2.69,150,2.69,3
2025-07-07 15:32:00+00:00,SVRE,2.69,2.69,2.69,100,2.69,1
2025-07-07 15:33:00+00:00,SVRE,2.73,2.73,2.73,100,2.73,1
2025-07-07 15:40:00+00:00,SVRE,2.78,2.78,2.78,100,2.78,1
2025-07-07 15:52:00+00:00,SVRE,2.85,2.85,2.85,100,2.85,1
2025-07-07 15:58:00+00:00,SVRE,2.93,2.93,2.93,176,2.93,4
2025-07-07 15:59:00+00:00,SVRE,2.92,2.92,2.92,125,2.92,2
2025-07-07 16:00:00+00:00,SVRE,2.91,2.91,2.91,226,2.91,6
2025-07-07 16:05:00+00:00,SVRE,2.92,2.92,2.92,100,2.92,1
2025-07-07 16:07:00+00:00,SVRE,2.905,2.905,2.905,100,2.905,1
2025-07-07 16:08:00+00:00,SVRE,2.93,2.93,2.93,100,2.93,1
2025-07-07 16:10:00+00:00,SVRE,2.92,2.89,2.89,200,2.905,2
2025-07-07 16:12:00+00:00,SVRE,2.93,2.93,2.93,200,2.93,2
2025-07-07 16:17:00+00:00,SVRE,2.93,2.93,2.93,100,2.93,1
2025-07-07 16:30:00+00:00,SVRE,2.84,2.84,2.84,380,2.84,8
2025-07-07 16:31:00+00:00,SVRE,2.75,2.75,2.75,269,2.75,7
2025-07-07 16:32:00+00:00,SVRE,2.75,2.75,2.75,100,2.75,1
2025-07-07 16:33:00+00:00,SVRE,2.78,2.78,2.78,100,2.78,1
2025-07-07 16:43:00+00:00,SVRE,2.76,2.76,2.76,129,2.76,3
2025-07-07 16:46:00+00:00,SVRE,2.83,2.81,2.83,200,2.82,2
2025-07-07 16:49:00+00:00,SVRE,2.78,2.76,2.76,200,2.77,2
2025-07-07 16:53:00+00:00,SVRE,2.83,2.83,2.83,100,2.83,1
2025-07-07 16:59:00+00:00,SVRE,2.9,2.9,2.9,400,2.9,4
2025-07-07 17:09:00+00:00,SVRE,2.85,2.85,2.85,100,2.85,1
2025-07-07 17:28:00+00:00,SVRE,2.84,2.84,2.84,100,2.84,1
2025-07-07 17:36:00+00:00,SVRE,2.89,2.89,2.89,100,2.89,1
2025-07-07 17:38:00+00:00,SVRE,2.89,2.89,2.89,100,2.89,1
2025-07-07 17:40:00+00:00,SVRE,2.9,2.89,2.89,200,2.895,2
2025-07-07 17:42:00+00:00,SVRE,2.79,2.79,2.79,375,2.79,6
2025-07-07 17:43:00+00:00,SVRE,2.85,2.85,2.85,100,2.85,1
2025-07-07 17:47:00+00:00,SVRE,2.88,2.87,2.88,200,2.875,2
2025-07-07 17:58:00+00:00,SVRE,2.89,2.89,2.89,100,2.89,1
2025-07-07 17:59:00+00:00,SVRE,2.89,2.89,2.89,100,2.89,1
2025-07-07 18:03:00+00:00,SVRE,2.95,2.95,2.95,183,2.95,2
2025-07-07 18:04:00+00:00,SVRE,2.98,2.95,2.96,420,2.962619,3
2025-07-07 18:05:00+00:00,SVRE,2.95,2.95,2.95,210,2.95,3
2025-07-07 18:13:00+00:00,SVRE,2.88,2.88,2.88,100,2.88,1
2025-07-07 18:30:00+00:00,SVRE,3.07,3.065,3.065,401,3.066667,5
2025-07-07 18:31:00+00:00,SVRE,3.03,3.03,3.03,176,3.03,3
2025-07-07 18:32:00+00:00,SVRE,3.145,3.1,3.145,487,3.1225,8
