timestamp,symbol,high,low,close,volume,vwap,trade_count
2025-07-08 09:30:00-04:00,ASST,7.705,7.49,7.66,1043,7.615,16
2025-07-08 09:31:00-04:00,ASST,7.58,7.4,7.4,394,7.52,5
2025-07-08 09:32:00-04:00,ASST,7.59,7.49,7.59,334,7.553333,4
2025-07-08 09:33:00-04:00,ASST,7.405,7.4,7.405,438,7.4025,8
2025-07-08 09:35:00-04:00,ASST,7.525,7.5,7.525,829,7.521855,6
2025-07-08 09:41:00-04:00,ASST,7.29,7.29,7.29,200,7.29,1
2025-07-08 09:43:00-04:00,ASST,7.475,7.42,7.42,505,7.452,4
2025-07-08 09:44:00-04:00,ASST,7.52,7.52,7.52,150,7.52,2
2025-07-08 09:46:00-04:00,ASST,7.65,7.65,7.65,241,7.65,4
2025-07-08 09:54:00-04:00,ASST,7.29,7.29,7.29,134,7.29,2
2025-07-08 09:57:00-04:00,ASST,7.41,7.36,7.41,200,7.385,2
2025-07-08 10:00:00-04:00,ASST,7.33,7.33,7.33,200,7.33,1
2025-07-08 10:04:00-04:00,ASST,7.54,7.54,7.54,200,7.54,1
2025-07-08 10:08:00-04:00,ASST,8.2,8.05,8.15,716,8.123,10
2025-07-08 10:10:00-04:00,ASST,8.51,8.51,8.51,492,8.51,12
2025-07-08 10:11:00-04:00,ASST,8.64,8.29,8.31,1747,8.379089,29
2025-07-08 10:12:00-04:00,ASST,8.34,8.2,8.21,1984,8.244167,30
2025-07-08 10:13:00-04:00,ASST,8.12,8.12,8.12,454,8.12,6
2025-07-08 10:15:00-04:00,ASST,8.18,8.17,8.18,384,8.173333,4
2025-07-08 10:16:00-04:00,ASST,8.15,8.15,8.15,150,8.15,2
